Date;From;To;Flight_Number;Airline;Distance;Duration;Seat;Seat_Type;Class;Reason;Plane;Plane2;Plane3;Plane4;Plane5;Trip;Note;From_OID;To_OID;Airline_OID;Plane_OID
- -;MUC;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;161;00:49;;;;;AR1;;;;;;Direct;346;1678;4559;
- -;MXP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;126;00:45;;;;;AR1;100;320;;;;Direct;1524;1678;4559;
- -;NBO;DAR;Swiss International Air Lines (LX);Swiss International Air Lines;414;01:19;;;;;333;;;;;;Direct;4059;1177;4559;
- -;NBO;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;3778;08:03;;;;;333;;;;;;Direct;4059;1678;4559;
- -;NCE;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;186;00:52;;;;;320;319;AR1;;;;Direct;1354;1665;4559;
- -;NCE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;270;01:02;;;;;320;319;;;;;Direct;1354;1678;4559;
- -;NRT;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5958;12:24;;;;;343;;;;;;Direct;2279;1678;4559;
- -;NSI;BRU;Swiss International Air Lines (LX);Swiss International Air Lines;3283;07:03;;;;;332;;;;;;Codeshare;4161;302;4559;
- -;NSI;DLA;Swiss International Air Lines (LX);Swiss International Air Lines;127;00:45;;;;;332;;;;;;Codeshare;4161;897;4559;
- -;NUE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;181;00:51;;;;;AR1;100;;;;;Direct;347;1678;4559;
- -;OLB;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;406;01:18;;;;;320;;;;;;Direct;1520;1665;4559;
- -;OPO;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;812;02:07;;;;;319;320;;;;;Direct;1636;1665;4559;
- -;OPO;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;950;02:24;;;;;320;319;;;;;Codeshare;1636;1678;4559;
- -;ORD;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4428;09:21;;;;;333;;;;;;Direct;3830;1678;4559;
- -;OSL;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;879;02:15;;;;;319;320;;;;;Direct;644;1678;4559;
- -;OTP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;862;02:13;;;;;320;;;;;;Codeshare;1657;1678;4559;
- -;PEK;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4949;10:23;;;;;333;;;;;;Direct;3364;1678;4559;
- -;PMI;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;492;01:29;;;;;320;;;;;;Direct;3998;1665;4559;
- -;PMI;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;618;01:44;;;;;321;320;;;;;Direct;3998;1678;4559;
- -;PRG;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;351;01:12;;;;;AR1;;;;;;Codeshare;1587;1423;4559;
- -;PRG;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;460;01:25;;;;;320;319;;;;;Direct;1587;1665;4559;
- -;PRG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;317;01:08;;;;;AR1;;;;;;Direct;1587;1678;4559;
- -;PRN;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;777;02:03;;;;;320;;;;;;Direct;1742;1665;4559;
- -;PRN;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;695;01:53;;;;;320;;;;;;Codeshare;1742;1678;4559;
- -;PUJ;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4673;09:50;;;;;333;;;;;;Codeshare;1760;1678;4559;
- -;PVG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5608;11:42;;;;;343;;;;;;Direct;3406;1678;4559;
- -;RAK;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1260;03:01;;;;;320;;;;;;Direct;1075;1665;4559;
- -;RAK;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1400;03:18;;;;;320;;;;;;Codeshare;1075;1678;4559;
- -;RMF;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;2072;04:38;;;;;320;;;;;;Codeshare;4197;1678;4559;
- -;SFO;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;5822;12:08;;;;;343;;;;;;Direct;3469;1678;4559;
- -;SIN;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;6399;13:17;;;;;343;;;;;;Direct;3316;1678;4559;
- -;SKP;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;744;01:59;;;;;320;;;;;;Codeshare;1737;1678;4559;
- -;SPU;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;462;01:25;;;;;DH4;;;;;;Codeshare;1206;1678;4559;
- -;STR;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;90;00:40;;;;;AR1;;;;;;Direct;350;1678;4559;
- -;TFS;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1901;04:18;;;;;320;;;;;;Codeshare;1056;1678;4559;
- -;TLV;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;1812;04:07;;;;;738;;;;;;Codeshare;1590;1665;4559;
- -;TLV;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;1744;03:59;;;;;333;343;32A;;;;Direct;1590;1678;4559;
- -;TPA;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4865;10:13;;;;;333;;;;;;Codeshare;3646;1678;4559;
- -;TXL;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;409;01:19;;;;;321;320;;;;;Direct;351;1678;4559;
- -;VCE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;225;00:57;;;;;AR1;320;;;;;Direct;1551;1678;4559;
- -;VIE;BSL;Swiss International Air Lines (LX);Swiss International Air Lines;420;01:20;;;;;DH4;;;;;;Codeshare;1613;1423;4559;
- -;VIE;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;507;01:30;;;;;319;100;F70;;;;Codeshare;1613;1665;4559;
- -;VIE;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;374;01:14;;;;;320;32A;319;321;AR1;;Direct;1613;1678;4559;
- -;VLC;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;711;01:55;;;;;321;320;;;;;Direct;1246;1678;4559;
- -;WAW;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;783;02:03;;;;;E75;;;;;;Codeshare;679;1665;4559;
- -;WAW;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;640;01:46;;;;;100;;;;;;Direct;679;1678;4559;
- -;YUL;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;3667;07:50;;;;;333;;;;;;Codeshare;146;1665;4559;
- -;YUL;YYZ;Swiss International Air Lines (LX);Swiss International Air Lines;314;01:07;;;;;333;;;;;;Codeshare;146;193;4559;
- -;YUL;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;3723;07:56;;;;;333;;;;;;Direct;146;1678;4559;
- -;YYZ;YUL;Swiss International Air Lines (LX);Swiss International Air Lines;314;01:07;;;;;333;;;;;;Codeshare;193;146;4559;
- -;YYZ;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;4030;08:33;;;;;333;;;;;;Codeshare;193;1678;4559;
- -;ZAG;ZRH;Swiss International Air Lines (LX);Swiss International Air Lines;375;01:15;;;;;DH4;;;;;;Codeshare;1208;1678;4559;
- -;ZRH;ACE;Swiss International Air Lines (LX);Swiss International Air Lines;1742;03:59;;;;;320;;;;;;Codeshare;1678;1055;4559;
- -;ZRH;AGP;Swiss International Air Lines (LX);Swiss International Air Lines;998;02:29;;;;;321;320;;;;;Direct;1678;1230;4559;
- -;ZRH;AMS;Swiss International Air Lines (LX);Swiss International Air Lines;374;01:14;;;;;320;AR1;;;;;Direct;1678;580;4559;
- -;ZRH;ARN;Swiss International Air Lines (LX);Swiss International Air Lines;923;02:20;;;;;320;321;;;;;Direct;1678;737;4559;
- -;ZRH;ATH;Swiss International Air Lines (LX);Swiss International Air Lines;1018;02:32;;;;;321;;;;;;Direct;1678;3941;4559;
- -;ZRH;AYT;Swiss International Air Lines (LX);Swiss International Air Lines;1344;03:11;;;;;320;;;;;;Codeshare;1678;1688;4559;
- -;ZRH;BCN;Swiss International Air Lines (LX);Swiss International Air Lines;531;01:33;;;;;321;320;;;;;Direct;1678;1218;4559;
- -;ZRH;BEG;Swiss International Air Lines (LX);Swiss International Air Lines;590;01:40;;;;;320;100;;;;;Direct;1678;1739;4559;
- -;ZRH;BHX;Swiss International Air Lines (LX);Swiss International Air Lines;571;01:38;;;;;100;AR1;;;;;Direct;1678;469;4559;
- -;ZRH;BKK;Swiss International Air Lines (LX);Swiss International Air Lines;5622;11:44;;;;;343;;;;;;Direct;1678;3885;4559;
- -;ZRH;BOM;Swiss International Air Lines (LX);Swiss International Air Lines;4061;08:37;;;;;333;;;;;;Direct;1678;2997;4559;
- -;ZRH;BOS;Swiss International Air Lines (LX);Swiss International Air Lines;3732;07:57;;;;;333;;;;;;Direct;1678;3448;4559;
- -;ZRH;BRU;Swiss International Air Lines (LX);Swiss International Air Lines;299;01:05;;;;;320;AR1;;;;;Direct;1678;302;4559;
- -;ZRH;BUD;Swiss International Air Lines (LX);Swiss International Air Lines;499;01:29;;;;;AR1;100;320;319;;;Direct;1678;1489;4559;
- -;ZRH;CAI;Swiss International Air Lines (LX);Swiss International Air Lines;1704;03:54;;;;;333;343;;;;;Direct;1678;1128;4559;
- -;ZRH;CDG;Swiss International Air Lines (LX);Swiss International Air Lines;295;01:05;;;;;320;AR1;32A;319;;;Direct;1678;1382;4559;
- -;ZRH;CGN;Swiss International Air Lines (LX);Swiss International Air Lines;243;00:59;;;;;320;319;;;;;Direct;1678;344;4559;
- -;ZRH;CPH;Swiss International Air Lines (LX);Swiss International Air Lines;589;01:40;;;;;321;320;;;;;Direct;1678;609;4559;
- -;ZRH;CTA;Swiss International Air Lines (LX);Swiss International Air Lines;765;02:01;;;;;320;;;;;;Codeshare;1678;1509;4559;
- -;ZRH;DBV;Swiss International Air Lines (LX);Swiss International Air Lines;582;01:39;;;;;DH4;;;;;;Codeshare;1678;1200;4559;
- -;ZRH;DEL;Swiss International Air Lines (LX);Swiss International Air Lines;3817;08:08;;;;;333;;;;;;Direct;1678;3093;4559;
- -;ZRH;DME;Swiss International Air Lines (LX);Swiss International Air Lines;1364;03:13;;;;;321;320;;;;;Direct;1678;4029;4559;
- -;ZRH;DUB;Swiss International Air Lines (LX);Swiss International Air Lines;768;02:02;;;;;321;;;;;;Direct;1678;599;4559;
- -;ZRH;DUS;Swiss International Air Lines (LX);Swiss International Air Lines;275;01:03;;;;;320;AR1;100;321;;;Direct;1678;345;4559;
- -;ZRH;DXB;Swiss International Air Lines (LX);Swiss International Air Lines;2960;06:25;;;;;333;;;;;;Direct;1678;2188;4559;
- -;ZRH;EWR;Swiss International Air Lines (LX);Swiss International Air Lines;3932;08:21;;;;;333;;;;;;Direct;1678;3494;4559;
- -;ZRH;FCO;Swiss International Air Lines (LX);Swiss International Air Lines;431;01:21;;;;;321;320;319;32A;;;Direct;1678;1555;4559;
- -;ZRH;FLR;Swiss International Air Lines (LX);Swiss International Air Lines;283;01:03;;;;;AR1;;;;;;Codeshare;1678;1563;4559;
- -;ZRH;FNC;Swiss International Air Lines (LX);Swiss International Air Lines;1669;03:50;;;;;320;;;;;;Codeshare;1678;4091;4559;
- -;ZRH;FRA;Swiss International Air Lines (LX);Swiss International Air Lines;177;00:51;;;;;320;AR1;;;;;Direct;1678;340;4559;
- -;ZRH;FUE;Swiss International Air Lines (LX);Swiss International Air Lines;1779;04:03;;;;;320;;;;;;Codeshare;1678;1051;4559;
- -;ZRH;GRU;Swiss International Air Lines (LX);Swiss International Air Lines;5967;12:26;;;;;343;;;;;;Direct;1678;2564;4559;
- -;ZRH;GVA;Swiss International Air Lines (LX);Swiss International Air Lines;143;00:47;;;;;319;320;AR1;321;32A;;Direct;1678;1665;4559;
- -;ZRH;HAJ;Swiss International Air Lines (LX);Swiss International Air Lines;348;01:11;;;;;AR1;100;320;;;;Direct;1678;352;4559;
- -;ZRH;HAM;Swiss International Air Lines (LX);Swiss International Air Lines;430;01:21;;;;;321;319;320;CRJ;;;Direct;1678;342;4559;
- -;ZRH;HAV;Swiss International Air Lines (LX);Swiss International Air Lines;5102;10:42;;;;;333;;;;;;Codeshare;1678;1909;4559;
- -;ZRH;HER;Swiss International Air Lines (LX);Swiss International Air Lines;1196;02:53;;;;;320;333;;;;;Codeshare;1678;1452;4559;
- -;ZRH;HKG;Swiss International Air Lines (LX);Swiss International Air Lines;5762;12:01;;;;;343;;;;;;Direct;1678;3077;4559;
- -;ZRH;HRG;Swiss International Air Lines (LX);Swiss International Air Lines;1953;04:24;;;;;320;;;;;;Codeshare;1678;1130;4559;
- -;ZRH;IAD;Swiss International Air Lines (LX);Swiss International Air Lines;4144;08:47;;;;;763;764;;;;;Codeshare;1678;3714;4559;
- -;ZRH;ISL;Swiss International Air Lines (LX);Swiss International Air Lines;1094;02:41;;;;;320;32A;;;;;Direct;1678;1701;4559;
- -;ZRH;JFK;Swiss International Air Lines (LX);Swiss International Air Lines;3918;08:20;;;;;333;;;;;;Direct;1678;3797;4559;
- -;ZRH;JNB;Swiss International Air Lines (LX);Swiss International Air Lines;5228;10:57;;;;;343;333;;;;;Direct;1678;813;4559;
- -;ZRH;KBP;Swiss International Air Lines (LX);Swiss International Air Lines;1029;02:33;;;;;320;32A;100;319;;;Direct;1678;2939;4559;
- -;ZRH;LAS;Swiss International Air Lines (LX);Swiss International Air Lines;5695;11:53;;;;;333;;;;;;Direct;1678;3877;4559;
- -;ZRH;LAX;Swiss International Air Lines (LX);Swiss International Air Lines;5920;12:20;;;;;343;;;;;;Direct;1678;3484;4559;
- -;ZRH;LCA;Swiss International Air Lines (LX);Swiss International Air Lines;1555;03:36;;;;;320;;;;;;Codeshare;1678;1197;4559;
- -;ZRH;LCY;Swiss International Air Lines (LX);Swiss International Air Lines;471;01:26;;;;;AR1;;;;;;Codeshare;1678;503;4559;
- -;ZRH;LED;Swiss International Air Lines (LX);Swiss International Air Lines;1220;02:56;;;;;320;32A;;;;;Direct;1678;2948;4559;
- -;ZRH;LHR;Swiss International Air Lines (LX);Swiss International Air Lines;489;01:28;;;;;320;321;32A;;;;Direct;1678;507;4559;
- -;ZRH;LIS;Swiss International Air Lines (LX);Swiss International Air Lines;1070;02:38;;;;;32A;320;;;;;Direct;1678;1638;4559;
- -;ZRH;LJU;Swiss International Air Lines (LX);Swiss International Air Lines;291;01:04;;;;;CR9;CR2;319;;;;Codeshare;1678;1569;4559;
- -;ZRH;LPA;Swiss International Air Lines (LX);Swiss International Air Lines;1863;04:13;;;;;320;;;;;;Codeshare;1678;1054;4559;
- -;ZRH;LUG;Swiss International Air Lines (LX);Swiss International Air Lines;102;00:42;;;;;S20;;;;;;Codeshare;1678;1675;4559;
- -;ZRH;LUX;Swiss International Air Lines (LX);Swiss International Air Lines;183;00:51;;;;;AR1;320;;;;;Direct;1678;629;4559;
- -;ZRH;LYS;Swiss International Air Lines (LX);Swiss International Air Lines;203;00:54;;;;;AR1;;;;;;Direct;1678;1335;4559;
- -;ZRH;MAD;Swiss International Air Lines (LX);Swiss International Air Lines;770;02:02;;;;;320;32A;;;;;Direct;1678;1229;4559;
- -;ZRH;MAN;Swiss International Air Lines (LX);Swiss International Air Lines;625;01:45;;;;;100;320;AR1;;;;Direct;1678;478;4559;
- -;ZRH;MIA;Swiss International Air Lines (LX);Swiss International Air Lines;4871;10:14;;;;;333;;;;;;Direct;1678;3576;4559;
- -;ZRH;MLA;Swiss International Air Lines (LX);Swiss International Air Lines;857;02:12;;;;;319;;;;;;Codeshare;1678;1606;4559;
- -;ZRH;MUC;Swiss International Air Lines (LX);Swiss International Air Lines;161;00:49;;;;;AR1;;;;;;Direct;1678;346;4559;
- -;ZRH;MXP;Swiss International Air Lines (LX);Swiss International Air Lines;126;00:45;;;;;AR1;100;320;;;;Direct;1678;1524;4559;
- -;ZRH;NBO;Swiss International Air Lines (LX);Swiss International Air Lines;3778;08:03;;;;;333;;;;;;Direct;1678;4059;4559;
- -;ZRH;NCE;Swiss International Air Lines (LX);Swiss International Air Lines;270;01:02;;;;;320;319;;;;;Direct;1678;1354;4559;
- -;ZRH;NRT;Swiss International Air Lines (LX);Swiss International Air Lines;5958;12:24;;;;;343;;;;;;Direct;1678;2279;4559;
- -;ZRH;NUE;Swiss International Air Lines (LX);Swiss International Air Lines;181;00:51;;;;;100;AR1;;;;;Direct;1678;347;4559;
- -;ZRH;OPO;Swiss International Air Lines (LX);Swiss International Air Lines;950;02:24;;;;;320;319;;;;;Codeshare;1678;1636;4559;
- -;ZRH;ORD;Swiss International Air Lines (LX);Swiss International Air Lines;4428;09:21;;;;;333;;;;;;Direct;1678;3830;4559;
- -;ZRH;OSL;Swiss International Air Lines (LX);Swiss International Air Lines;879;02:15;;;;;319;320;;;;;Direct;1678;644;4559;
- -;ZRH;OTP;Swiss International Air Lines (LX);Swiss International Air Lines;862;02:13;;;;;320;;;;;;Codeshare;1678;1657;4559;
- -;ZRH;PEK;Swiss International Air Lines (LX);Swiss International Air Lines;4949;10:23;;;;;333;;;;;;Direct;1678;3364;4559;
- -;ZRH;PMI;Swiss International Air Lines (LX);Swiss International Air Lines;618;01:44;;;;;321;320;;;;;Direct;1678;3998;4559;
- -;ZRH;PRG;Swiss International Air Lines (LX);Swiss International Air Lines;317;01:08;;;;;AR1;;;;;;Direct;1678;1587;4559;
- -;ZRH;PRN;Swiss International Air Lines (LX);Swiss International Air Lines;695;01:53;;;;;320;;;;;;Codeshare;1678;1742;4559;
- -;ZRH;PUJ;Swiss International Air Lines (LX);Swiss International Air Lines;4673;09:50;;;;;333;;;;;;Codeshare;1678;1760;4559;
- -;ZRH;PVG;Swiss International Air Lines (LX);Swiss International Air Lines;5608;11:42;;;;;343;;;;;;Direct;1678;3406;4559;
- -;ZRH;RAK;Swiss International Air Lines (LX);Swiss International Air Lines;1400;03:18;;;;;320;;;;;;Codeshare;1678;1075;4559;
- -;ZRH;RMF;Swiss International Air Lines (LX);Swiss International Air Lines;2072;04:38;;;;;320;;;;;;Codeshare;1678;4197;4559;
- -;ZRH;SFO;Swiss International Air Lines (LX);Swiss International Air Lines;5822;12:08;;;;;343;;;;;;Direct;1678;3469;4559;
- -;ZRH;SIN;Swiss International Air Lines (LX);Swiss International Air Lines;6399;13:17;;;;;343;;;;;;Direct;1678;3316;4559;
- -;ZRH;SKP;Swiss International Air Lines (LX);Swiss International Air Lines;744;01:59;;;;;320;;;;;;Codeshare;1678;1737;4559;
- -;ZRH;SPU;Swiss International Air Lines (LX);Swiss International Air Lines;462;01:25;;;;;DH4;;;;;;Codeshare;1678;1206;4559;
- -;ZRH;STR;Swiss International Air Lines (LX);Swiss International Air Lines;90;00:40;;;;;AR1;;;;;;Direct;1678;350;4559;
- -;ZRH;TFS;Swiss International Air Lines (LX);Swiss International Air Lines;1901;04:18;;;;;320;;;;;;Codeshare;1678;1056;4559;
- -;ZRH;TLV;Swiss International Air Lines (LX);Swiss International Air Lines;1744;03:59;;;;;343;32A;333;;;;Direct;1678;1590;4559;
- -;ZRH;TPA;Swiss International Air Lines (LX);Swiss International Air Lines;4865;10:13;;;;;333;;;;;;Codeshare;1678;3646;4559;
- -;ZRH;TXL;Swiss International Air Lines (LX);Swiss International Air Lines;409;01:19;;;;;320;321;;;;;Direct;1678;351;4559;
- -;ZRH;VCE;Swiss International Air Lines (LX);Swiss International Air Lines;225;00:57;;;;;AR1;320;;;;;Direct;1678;1551;4559;
- -;ZRH;VIE;Swiss International Air Lines (LX);Swiss International Air Lines;374;01:14;;;;;32A;319;321;320;AR1;;Direct;1678;1613;4559;
- -;ZRH;VLC;Swiss International Air Lines (LX);Swiss International Air Lines;711;01:55;;;;;321;320;;;;;Direct;1678;1246;4559;
- -;ZRH;WAW;Swiss International Air Lines (LX);Swiss International Air Lines;640;01:46;;;;;100;;;;;;Direct;1678;679;4559;
- -;ZRH;YUL;Swiss International Air Lines (LX);Swiss International Air Lines;3723;07:56;;;;;333;;;;;;Direct;1678;146;4559;
- -;ZRH;YYZ;Swiss International Air Lines (LX);Swiss International Air Lines;4030;08:33;;;;;333;;;;;;Codeshare;1678;193;4559;
- -;ZRH;ZAG;Swiss International Air Lines (LX);Swiss International Air Lines;375;01:15;;;;;DH4;;;;;;Codeshare;1678;1208;4559;
